url_path,views_total,views_unique
/Declipsonator/Meteor-Tweaks,135,82
/Declipsonator/Meteor-Tweaks/releases/tag/v2.0.1,71,52
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks,29,7
/Declipsonator/Meteor-Tweaks/releases,28,17
/Declipsonator/Meteor-Tweaks/tree/main/src/main,15,7
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/modules,15,5
/Declipsonator/Meteor-Tweaks/tree/main,11,6
/Declipsonator/Meteor-Tweaks/issues,10,6
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins,10,4
/Declipsonator/Meteor-Tweaks/tree/main/src/main/java/me/declipsonator/meteortweaks/mixins/meteor,8,4
