time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-21 00:00:00+00:00,,,15,6
2022-08-23 00:00:00+00:00,,,18,8
2022-08-24 00:00:00+00:00,,,14,7
2022-08-25 00:00:00+00:00,,,23,5
2022-08-26 00:00:00+00:00,,,12,5
2022-08-27 00:00:00+00:00,,,14,7
2022-08-28 00:00:00+00:00,,,8,4
2022-08-29 00:00:00+00:00,,,34,4
2022-08-30 00:00:00+00:00,,,38,8
2022-08-31 00:00:00+00:00,,,9,5
2022-09-01 00:00:00+00:00,1.0,1.0,3,2
2022-09-02 00:00:00+00:00,,,22,8
2022-09-03 00:00:00+00:00,,,4,3
